year,genre,number
2000,Action,39
2001,Action,52
2002,Action,55
2003,Action,65
2004,Action,59
2005,Action,66
2006,Action,76
2007,Action,82
2008,Action,101
2009,Action,77
2010,Action,85
2011,Action,86
2012,Action,85
2013,Action,64
2014,Action,80
2015,Action,89
2000,Comedy,98
2001,Comedy,101
2002,Comedy,128
2003,Comedy,127
2004,Comedy,141
2005,Comedy,176
2006,Comedy,180
2007,Comedy,187
2008,Comedy,226
2009,Comedy,198
2010,Comedy,184
2011,Comedy,198
2012,Comedy,182
2013,Comedy,111
2014,Comedy,148
2015,Comedy,171
2000,Documentary,11
2001,Documentary,19
2002,Documentary,34
2003,Documentary,45
2004,Documentary,40
2005,Documentary,60
2006,Documentary,58
2007,Documentary,67
2008,Documentary,84
2009,Documentary,64
2010,Documentary,53
2011,Documentary,77
2012,Documentary,77
2013,Documentary,40
2014,Documentary,82
2015,Documentary,66
2000,Family,30
2001,Family,22
2002,Family,39
2003,Family,40
2004,Family,40
2005,Family,48
2006,Family,62
2007,Family,52
2008,Family,57
2009,Family,47
2010,Family,54
2011,Family,56
2012,Family,38
2013,Family,24
2014,Family,41
2015,Family,38
2000,Horror,23
2001,Horror,26
2002,Horror,31
2003,Horror,27
2004,Horror,35
2005,Horror,61
2006,Horror,95
2007,Horror,84
2008,Horror,102
2009,Horror,80
2010,Horror,50
2011,Horror,76
2012,Horror,74
2013,Horror,42
2014,Horror,48
2015,Horror,85
2000,Musical,5
2001,Musical,4
2002,Musical,4
2003,Musical,6
2004,Musical,6
2005,Musical,10
2006,Musical,4
2007,Musical,8
2008,Musical,7
2009,Musical,12
2010,Musical,4
2011,Musical,7
2012,Musical,8
2013,Musical,2
2014,Musical,11
2015,Musical,7
2000,Romance,53
2001,Romance,67
2002,Romance,68
2003,Romance,74
2004,Romance,76
2005,Romance,92
2006,Romance,97
2007,Romance,119
2008,Romance,136
2009,Romance,119
2010,Romance,106
2011,Romance,100
2012,Romance,82
2013,Romance,52
2014,Romance,90
2015,Romance,62
2000,Sport,16
2001,Sport,6
2002,Sport,10
2003,Sport,5
2004,Sport,10
2005,Sport,23
2006,Sport,28
2007,Sport,19
2008,Sport,19
2009,Sport,22
2010,Sport,14
2011,Sport,15
2012,Sport,15
2013,Sport,11
2014,Sport,10
2015,Sport,13
2000,War,5
2001,War,14
2002,War,10
2003,War,9
2004,War,13
2005,War,6
2006,War,12
2007,War,19
2008,War,19
2009,War,15
2010,War,7
2011,War,6
2012,War,9
2013,War,3
2014,War,16
2015,War,7
2000,Adventure,33
2001,Adventure,31
2002,Adventure,41
2003,Adventure,47
2004,Adventure,41
2005,Adventure,53
2006,Adventure,72
2007,Adventure,54
2008,Adventure,75
2009,Adventure,61
2010,Adventure,52
2011,Adventure,62
2012,Adventure,47
2013,Adventure,48
2014,Adventure,65
2015,Adventure,56
2000,Biography,8
2001,Biography,14
2002,Biography,7
2003,Biography,17
2004,Biography,27
2005,Biography,17
2006,Biography,19
2007,Biography,26
2008,Biography,21
2009,Biography,15
2010,Biography,22
2011,Biography,23
2012,Biography,24
2013,Biography,34
2014,Biography,47
2015,Biography,52
2000,Crime,34
2001,Crime,59
2002,Crime,51
2003,Crime,60
2004,Crime,50
2005,Crime,46
2006,Crime,65
2007,Crime,78
2008,Crime,82
2009,Crime,77
2010,Crime,59
2011,Crime,46
2012,Crime,53
2013,Crime,53
2014,Crime,62
2015,Crime,68
2000,Drama,118
2001,Drama,124
2002,Drama,150
2003,Drama,138
2004,Drama,145
2005,Drama,200
2006,Drama,245
2007,Drama,271
2008,Drama,281
2009,Drama,264
2010,Drama,233
2011,Drama,240
2012,Drama,231
2013,Drama,173
2014,Drama,244
2015,Drama,281
2000,Fantasy,31
2001,Fantasy,27
2002,Fantasy,25
2003,Fantasy,31
2004,Fantasy,29
2005,Fantasy,31
2006,Fantasy,45
2007,Fantasy,48
2008,Fantasy,51
2009,Fantasy,47
2010,Fantasy,38
2011,Fantasy,48
2012,Fantasy,49
2013,Fantasy,35
2014,Fantasy,36
2015,Fantasy,34
2000,History,4
2001,History,6
2002,History,5
2003,History,10
2004,History,12
2005,History,7
2006,History,19
2007,History,14
2008,History,8
2009,History,11
2010,History,7
2011,History,10
2012,History,13
2013,History,10
2014,History,19
2015,History,22
2000,Music,19
2001,Music,16
2002,Music,15
2003,Music,26
2004,Music,32
2005,Music,36
2006,Music,26
2007,Music,37
2008,Music,32
2009,Music,30
2010,Music,23
2011,Music,33
2012,Music,26
2013,Music,14
2014,Music,28
2015,Music,36
2000,Mystery,16
2001,Mystery,29
2002,Mystery,37
2003,Mystery,23
2004,Mystery,31
2005,Mystery,35
2006,Mystery,44
2007,Mystery,47
2008,Mystery,44
2009,Mystery,50
2010,Mystery,35
2011,Mystery,41
2012,Mystery,39
2013,Mystery,21
2014,Mystery,41
2015,Mystery,45
2000,Sci-Fi,NA
2001,Sci-Fi,NA
2002,Sci-Fi,NA
2003,Sci-Fi,NA
2004,Sci-Fi,NA
2005,Sci-Fi,NA
2006,Sci-Fi,NA
2007,Sci-Fi,NA
2008,Sci-Fi,NA
2009,Sci-Fi,NA
2010,Sci-Fi,NA
2011,Sci-Fi,NA
2012,Sci-Fi,NA
2013,Sci-Fi,NA
2014,Sci-Fi,NA
2015,Sci-Fi,NA
2000,Western,3
2001,Western,1
2002,Western,2
2003,Western,2
2004,Western,4
2005,Western,2
2006,Western,4
2007,Western,5
2008,Western,3
2009,Western,1
2010,Western,4
2011,Western,6
2012,Western,1
2013,Western,1
2014,Western,6
2015,Western,8
2000,SciFi,20
2001,SciFi,32
2002,SciFi,31
2003,SciFi,35
2004,SciFi,31
2005,SciFi,35
2006,SciFi,33
2007,SciFi,54
2008,SciFi,55
2009,SciFi,56
2010,SciFi,45
2011,SciFi,64
2012,SciFi,49
2013,SciFi,49
2014,SciFi,51
2015,SciFi,58
